,mileage_per_year,model_year,price,sold
267,13564,2015,48616.33,yes
268,9485,2009,58761.47,yes
269,16048,2001,56037.14,yes
270,19812,2001,34621.52,yes
271,13741,2016,108416.34,yes
272,22014,2010,97926.72,no
273,11869,2010,65811.04,yes
274,10572,2009,50146.34,no
275,7698,2006,109215.68,yes
276,16572,2001,56158.82,no
277,22330,2002,25495.31,yes
278,7915,2012,93179.79,yes
279,15093,2008,80301.3,no
280,9257,2011,80608.35,yes
281,4702,2011,70524.3,yes
282,13957,1998,50307.59,yes
283,13322,2004,52763.86,no
284,22469,2005,74560.79,no
285,24880,1999,50272.61,yes
286,10501,2010,48031.11,yes
287,7133,2006,60835.06,no
288,12392,1998,103001.47,no
289,19147,1998,44724.71,no
290,22890,2007,62896.9,no
291,16634,2012,36757.34,yes
292,10490,2007,99345.47,no
293,17268,1999,35187.66,yes
294,18098,1999,60494.2,no
295,17714,2008,32140.32,yes
296,11055,1998,72494.65,no
297,12988,2010,60963.98,yes
298,17744,2002,29846.95,yes
299,11944,2000,96629.93,no
300,17102,2000,17099.53,yes
301,13569,2009,91871.81,no
302,12592,2001,105254.27,yes
303,16587,1999,66800.19,no
304,17507,2011,71884.55,no
305,22757,2000,99362.45,yes
306,9832,2003,65502.27,no
307,15584,2014,61589.68,no
308,11605,1998,85528.69,yes
309,19196,2003,51048.1,yes
310,9938,2014,89204.35,no
311,11661,2005,34106.61,yes
312,13282,2003,93591.27,yes
313,8644,1998,42460.74,yes
314,9276,2004,105170.22,yes
315,25101,1998,89394.0,no
316,14001,2010,81849.27,no
317,20403,2002,21698.45,yes
318,7293,1999,67026.41,yes
319,18904,2002,58795.57,yes
320,21374,2001,32578.24,yes
321,8745,2012,106744.63,no
322,13200,2008,50227.03,yes
323,16191,1998,29275.66,yes
324,16680,2013,87249.72,no
325,26837,1998,60412.78,no
326,9139,1999,58403.01,yes
327,12570,1998,60611.05,yes
328,9349,2014,51375.39,no
329,14740,2010,94724.39,yes
330,16478,2008,115907.54,yes
331,17248,1999,108072.15,yes
332,9487,1999,71393.18,yes
333,21920,2000,64356.4,no
334,12126,2001,65512.96,no
335,23175,2005,73526.68,no
336,10615,2000,86962.43,yes
337,10307,2009,75308.4,yes
338,13175,2002,77450.66,no
339,16801,2001,87133.58,no
340,7608,2007,72921.91,no
341,24152,2011,54881.34,yes
342,15938,2005,51414.06,yes
343,19269,2005,73995.74,no
344,17855,1998,58540.97,no
345,15972,2007,92527.23,no
346,7150,2001,67457.71,no
347,28770,1999,42270.45,yes
348,6621,2014,66502.41,no
349,7388,2005,76128.49,no
350,18208,2000,48176.44,yes
351,8715,2006,99855.89,no
352,6411,2012,32988.68,yes
353,15357,2004,95672.85,no
354,7946,2001,40562.78,yes
355,8944,2010,89447.12,yes
356,22048,2009,101020.51,yes
357,19395,2000,61876.6,no
358,10008,1999,10523.62,yes
359,9332,1999,50350.21,yes
360,8801,2003,71042.66,yes
361,21686,2008,89330.23,yes
362,17697,2002,38275.15,yes
363,13099,2006,56944.59,no
364,9671,2003,71172.51,no
365,8388,2004,21425.97,yes
366,13615,1999,33195.17,yes
367,14785,2002,80133.35,yes
368,19801,2007,95451.76,no
369,11053,2005,75429.15,no
370,18855,2006,73828.87,no
371,7854,2009,53441.7,no
372,19274,2004,87397.7,no
373,19761,1998,40425.74,yes
374,13337,2004,59712.76,yes
375,8492,2003,53620.03,yes
376,14911,2005,69926.45,no
377,14116,2008,99947.31,yes
378,17583,2001,71901.77,no
379,17566,2011,75606.69,no
380,16998,2001,100109.51,yes
381,10875,2005,54470.12,yes
382,23439,2002,55234.23,no
383,8864,1999,16100.55,yes
384,18979,2002,27837.75,yes
385,14510,2005,92347.47,yes
386,8566,2006,51786.94,yes
387,11479,2006,88147.2,yes
388,13015,2002,48748.05,yes
389,12209,1998,82718.96,yes
390,10763,2002,47725.66,yes
391,6876,1999,96824.04,yes
392,27768,2008,70160.04,no
393,12286,2002,106663.84,yes
394,9143,1998,12679.47,yes
395,16970,2011,53256.53,no
396,23958,2006,75329.62,no
397,14024,2004,42410.77,yes
398,9231,2000,48904.71,no
399,20437,2011,38707.38,yes
400,11995,2001,87000.67,yes
401,11124,2006,55680.57,no
402,19622,2000,31682.9,yes
403,19200,2008,59919.38,yes
404,7738,2005,98076.26,yes
405,14303,2006,97051.88,no
406,22886,2000,31384.59,yes
407,10463,2000,100902.05,yes
408,13489,2007,52934.42,yes
409,15092,2003,78931.13,no
410,10644,1998,82494.0,yes
411,13558,1998,52238.42,yes
412,12670,2002,53840.35,yes
413,14937,2009,35711.03,yes
414,14114,2007,81582.81,no
415,12902,2000,83509.77,yes
416,11111,1999,32167.57,yes
417,9539,2011,114609.66,yes
418,11911,2000,54940.25,no
419,8181,1999,100368.11,yes
420,17686,2009,48481.31,no
421,6300,1999,68456.86,no
422,20743,2009,81234.8,no
423,9544,1999,27338.23,yes
424,21031,2011,83224.59,no
425,20947,1998,16021.54,yes
426,13572,2001,110580.13,no
427,17392,2010,80300.46,no
428,18251,2013,103801.19,no
429,12051,2004,55874.91,yes
430,13795,1998,46315.44,no
431,15680,2003,75938.53,no
432,15790,2008,55401.34,yes
433,5778,2005,65761.48,no
434,6720,1999,27817.54,yes
435,8645,1999,19850.82,yes
436,19972,2014,95755.37,no
437,11680,2010,40400.53,yes
438,16728,2004,110690.57,yes
439,17981,2001,27716.48,yes
440,20345,2004,70343.39,no
441,7683,2008,98412.88,no
442,23892,2001,80541.59,no
443,13454,2007,96096.25,no
444,19931,2001,77244.26,no
445,13606,2006,68299.71,no
446,10602,2005,111244.38,no
447,8723,2005,90401.7,yes
448,11286,2005,26955.05,yes
449,18123,2009,60646.51,no
450,11304,2003,83964.09,yes
451,9863,2000,84740.57,no
452,11888,2000,70549.92,no
453,9470,2006,55664.61,yes
454,9924,1999,40858.27,yes
455,17260,2002,37208.98,yes
456,12367,1998,106805.75,yes
457,12447,2002,85981.58,yes
458,13318,2007,90746.74,no
459,24522,2007,25530.37,yes
460,12454,1998,42114.38,yes
461,22558,2002,62955.76,no
462,16866,2010,62601.2,no
463,9805,1999,14413.13,yes
464,15253,2012,57965.53,yes
465,12166,2006,63861.1,yes
466,18022,1998,32423.59,yes
467,16831,2000,43559.2,yes
468,12756,2008,104052.72,yes
469,5674,2002,68838.93,yes
470,16968,2004,85783.86,no
471,14292,1999,88167.15,no
472,14155,2005,42538.65,yes
473,10878,1998,97880.4,no
474,13925,2000,62681.06,no
475,8243,1998,52926.99,yes
476,12735,2003,67329.21,yes
477,7950,2005,20846.59,yes
478,16873,1999,58939.63,yes
479,7855,2012,88674.81,no
480,15729,2007,49765.05,yes
481,14510,2002,41307.46,yes
482,9902,2008,45362.91,yes
483,12297,2000,50057.74,yes
484,9078,2002,44310.77,yes
485,23919,2002,51853.51,yes
486,16180,2007,65149.93,no
487,20297,2004,85506.78,no
488,19970,1999,71596.17,no
489,9993,2005,55055.51,yes
490,15449,2014,49025.81,yes
491,15049,2002,60821.74,no
492,23117,2004,81831.6,no
493,11762,2009,82521.32,yes
494,15785,2013,78328.58,no
495,18980,1999,31185.41,yes
496,9319,2005,61411.58,no
497,16810,2004,66153.58,no
498,14943,2003,55137.78,yes
499,20909,2004,50513.62,no
500,21530,2003,35149.84,yes
501,17415,2003,83297.56,no
502,7603,2004,93908.17,no
503,13727,2008,104612.09,yes
504,11752,2000,55070.37,no
505,12624,2012,82861.88,no
506,15197,2000,41954.96,yes
507,14051,2002,106143.54,yes
508,12356,2001,96169.66,no
509,15173,2002,51913.4,no
510,8069,2002,59815.67,yes
511,14894,1998,90189.83,no
512,16270,2004,86648.92,no
513,17866,1998,25472.09,yes
514,12780,1999,23477.18,yes
515,15578,2006,88926.53,no
516,11862,2005,47535.86,no
517,13175,2000,52835.52,yes
518,23038,2006,60396.79,no
519,15055,2009,47491.72,yes
520,8507,1998,55869.47,no
521,6420,2010,44250.73,yes
522,15322,1998,27710.15,yes
523,16914,2008,114701.35,no
524,19354,2003,56185.73,yes
525,17259,2003,52716.99,yes
526,10214,2001,30496.76,yes
527,26432,2000,30686.29,yes
528,9792,2003,55129.13,no
529,15392,2010,29643.29,yes
530,12324,2003,68762.98,no
531,10902,2012,82962.29,yes
532,13750,1999,16907.72,yes
533,11946,2002,30812.73,yes
534,15604,2013,46181.5,yes
535,8947,2007,54531.19,no
536,8338,1998,96511.12,no
537,23369,2005,57887.84,yes
538,22626,2006,63543.24,no
539,15808,2000,45855.28,yes
540,12739,2010,77605.68,yes
541,9960,2000,17118.01,yes
542,5496,1999,96670.08,yes
543,9758,2005,43224.35,yes
544,12470,1999,60916.85,yes
545,11160,2000,64801.02,no
546,16915,2006,52450.74,yes
547,8196,2003,60177.16,no
548,17064,2006,100429.64,yes
549,18282,1998,69907.81,yes
550,15008,2003,58367.72,no
551,15921,2006,92028.22,no
552,19222,2002,21990.03,yes
553,13097,2004,67815.16,no
554,5767,2007,107739.84,no
555,13338,2001,34201.64,yes
556,15872,2012,77844.32,no
557,20543,2001,29576.99,yes
558,16502,2005,53445.79,yes
559,24680,1998,63403.84,no
560,23613,2009,45854.85,no
561,10363,2007,37776.96,yes
562,13920,2008,114977.51,yes
563,9939,1998,94770.54,no
564,10208,2007,39677.04,yes
565,16604,2005,68765.21,no
566,13961,2010,60557.45,yes
567,12600,2002,52459.5,yes
568,15912,2002,101767.23,no
569,19755,1998,45658.62,yes
570,13704,2000,97645.54,no
571,7740,2002,79332.74,no
572,19644,2000,71344.99,no
573,20122,2000,96267.37,no
574,14178,2012,97742.8,yes
575,12228,1998,71730.69,no
576,14938,2000,92118.45,no
577,8277,2007,86895.79,no
578,10600,2003,80811.89,yes
579,14146,2007,60301.19,no
580,8851,2002,72823.12,no
581,11151,2000,64421.22,yes
582,17193,2005,97257.56,no
583,17746,2003,86046.63,no
584,11667,2004,66538.26,no
585,20444,2014,55775.43,no
586,11994,2008,75998.38,no
587,10123,2013,41081.74,no
588,19103,2005,59857.03,yes
589,37394,2013,64190.79,no
590,10598,2007,73410.03,no
591,11670,2009,99430.17,yes
592,14150,2003,50957.91,yes
593,19311,2003,84360.9,no
594,16091,2008,93693.78,no
595,18190,2007,50087.6,yes
596,23919,2005,44378.87,yes
597,17909,2003,95736.89,no
598,12224,2002,25309.79,yes
599,15262,2004,89301.89,no
600,20494,2000,37872.08,yes
601,13973,2010,32015.55,yes
602,7797,2000,53270.42,no
603,11816,2009,35354.08,yes
604,23553,2007,102614.05,yes
605,11942,2000,60686.91,yes
606,16926,2002,32230.06,yes
607,11492,2003,28056.3,yes
608,13450,2012,80387.31,no
609,16092,1998,90394.28,no
610,14230,2003,78238.12,yes
611,9639,2000,20636.39,yes
612,6385,2009,62340.6,yes
613,13482,2005,91123.54,no
614,13174,2001,16043.96,yes
615,15866,2007,51197.87,yes
616,11871,2006,74060.87,no
617,17635,1999,32222.66,yes
618,18466,2006,26129.87,yes
619,17828,2001,88099.83,no
620,10984,2002,81441.14,yes
621,9645,2006,69025.81,yes
622,9133,2000,43005.66,yes
623,6657,2007,72457.14,no
624,11007,2015,61418.1,no
625,15890,2008,95856.58,yes
626,9722,2001,47468.8,yes
627,7707,2000,57628.09,yes
628,11963,1999,67773.9,no
629,17522,2002,27983.28,yes
630,11530,1999,30048.86,yes
631,10507,2001,69954.14,yes
632,13286,1999,68798.47,no
633,9277,2011,96111.84,yes
634,16971,1999,98987.32,no
635,21516,1999,93424.64,no
636,10159,2001,51221.41,yes
637,5893,2005,50693.66,no
638,16974,2000,60867.55,no
639,11403,2000,33329.29,yes
640,11887,1999,86023.79,yes
641,21135,2003,38155.67,yes
642,19074,2002,72108.55,no
643,14619,2003,87508.53,no
644,9574,2007,101103.66,yes
645,14989,2005,71912.15,yes
646,19407,2007,75682.44,no
647,9601,2008,49830.26,yes
648,14428,2010,96731.56,no
649,18280,2002,80440.24,no
650,13058,2006,62700.93,no
651,13939,2000,75160.29,yes
652,20014,2006,104705.85,yes
653,10707,2003,90899.86,yes
654,25794,2000,103643.22,no
655,12837,1999,89084.24,yes
656,13030,2003,88657.86,no
657,19950,2011,61331.48,no
658,16192,2001,41625.0,no
659,14881,1998,30430.91,yes
660,14776,2003,79290.13,yes
661,12744,2012,108974.78,no
662,13013,2011,105346.4,no
663,17064,2005,25477.08,yes
664,11450,2007,91190.27,no
665,10365,2012,65653.57,yes
666,5977,2006,93325.37,no
667,14652,1999,90110.38,no
668,23824,2011,86579.53,no
669,15625,1999,43509.27,no
670,12123,2000,43966.31,yes
671,12239,2000,38979.54,yes
672,12921,2001,58125.86,yes
673,39226,1998,42052.8,no
674,8228,2005,73584.98,yes
675,12987,2008,48287.26,yes
676,8270,1999,67867.53,no
677,19064,2006,68562.61,no
678,22539,2011,80135.94,no
679,18105,2001,82571.99,no
680,15291,2005,58997.33,no
681,21951,2003,86868.2,no
682,19103,2016,92393.34,no
683,13961,1998,82078.97,no
684,12351,2002,51097.21,yes
685,8052,2001,76746.96,no
686,15889,2010,31126.22,yes
687,8402,2001,87421.77,yes
688,5945,2004,54789.0,yes
689,26910,2007,47870.87,yes
690,9795,2006,77192.03,yes
691,17583,2000,60215.14,no
692,10462,2005,38926.9,yes
693,20068,2008,77690.95,no
694,18722,2012,42749.08,yes
695,21496,2002,37562.77,yes
696,15881,2003,25479.97,yes
697,14753,1998,84121.67,yes
698,13194,2006,96223.45,yes
699,12804,2007,52092.5,yes
700,11706,2012,53350.22,yes
701,12489,1998,43823.16,yes
702,17617,2001,92956.75,no
703,363,2003,85323.93,no
704,15572,2001,68765.44,no
705,5058,1998,48849.12,no
706,13006,2016,76616.81,no
707,8283,2000,39044.74,yes
708,10803,1998,39937.5,yes
709,11467,2010,70756.45,yes
710,7061,2011,65982.96,yes
711,15228,2013,73918.08,no
712,12968,2000,47279.05,no
713,13809,2000,35508.95,yes
714,6424,2005,71871.52,yes
715,8448,2000,18234.99,yes
716,12992,2003,93710.17,yes
717,6552,2002,27831.26,yes
718,8777,1998,41566.03,yes
719,20462,2010,72281.71,no
720,8480,2001,58031.32,yes
721,17176,2001,63153.7,no
722,16105,1999,61992.78,no
723,20410,2003,60826.02,no
724,9057,2000,78971.4,no
725,7281,2012,80857.98,no
726,19218,2003,41841.71,yes
727,19190,1998,74738.67,no
728,16277,2003,37754.27,yes
729,12244,1999,48880.96,yes
730,11567,2013,111232.69,yes
731,17867,2006,43522.35,yes
732,15359,2008,89175.83,no
733,17836,2010,84895.96,no
734,8797,2005,31159.1,yes
735,14914,2000,33671.6,yes
736,10179,2006,75378.47,no
737,12906,2006,52821.78,no
738,9242,1999,97969.32,yes
739,10685,2006,82130.68,no
740,11101,2007,69938.01,yes
741,25337,1998,60151.71,no
742,12532,2002,90791.51,no
743,23931,2011,69216.95,no
744,16078,1999,51786.56,yes
745,22354,2000,85492.67,no
746,17237,1998,78506.26,no
747,9491,2008,44195.14,no
748,11012,2011,83396.53,no
749,17270,2005,97387.88,no
750,18218,2000,11849.57,yes
751,19443,2000,65749.97,no
752,13904,2002,57209.28,no
753,18151,2002,22733.76,yes
754,12650,2005,68274.8,no
755,18188,2010,50935.23,no
756,13185,2002,83821.74,yes
757,10665,2013,76443.36,yes
758,13594,2008,94356.13,yes
759,15316,2001,20653.47,yes
760,20339,1998,44063.92,yes
761,18711,2010,74128.76,yes
762,13559,1998,18239.6,yes
763,13653,2002,42592.0,yes
764,15942,2007,93973.19,no
765,10138,1998,13019.74,yes
766,17808,2008,80643.48,no
767,6638,1998,47153.12,yes
768,12036,2001,61161.66,no
769,19957,1998,11053.79,yes
770,11781,1998,21895.94,yes
771,10937,2000,80450.28,no
772,13584,1999,87141.84,no
773,7153,2004,50261.76,yes
774,17220,2006,91365.12,no
775,11802,2000,96716.21,yes
776,6943,1999,46222.38,yes
777,13202,2004,93889.4,yes
778,13992,2001,58691.22,no
779,8860,2007,97824.01,no
780,10870,2008,85152.64,no
781,27028,2002,45171.94,yes
782,8479,2005,43950.05,no
783,8248,1999,31848.92,yes
784,13212,2005,47803.95,no
785,11013,1998,91780.26,no
786,7835,2008,81355.74,yes
787,9752,2003,77585.11,no
788,9472,2014,61947.0,no
789,15465,2005,64948.91,no
790,14284,2016,87487.93,no
791,13146,2005,48875.07,no
792,13005,1998,16354.14,yes
793,16136,2002,59443.2,no
794,10007,2004,49207.48,yes
795,10333,2012,71282.48,yes
796,11986,1998,18887.11,yes
797,12348,2009,37244.93,yes
798,23626,2006,66905.3,no
799,18076,2005,50313.96,no
800,12061,2010,82721.7,yes
801,18689,2009,105926.86,yes
802,11402,2000,66987.51,yes
803,22204,2016,70302.9,no
804,14319,2006,69005.74,yes
805,11917,1999,76833.14,no
806,10795,2002,75393.38,no
807,8978,2003,47033.03,yes
808,16460,2008,111319.48,yes
809,23367,2006,109509.96,no
810,17560,2005,58570.17,yes
811,9088,2002,80390.26,no
812,14845,1999,29982.33,yes
813,18333,2015,49528.74,yes
814,11192,2010,96402.43,no
815,9045,1998,27616.01,yes
816,7584,1999,55931.97,yes
817,9439,2013,111263.35,yes
818,16436,2013,101415.11,yes
819,13803,2001,59464.51,yes
820,20915,2007,73355.27,no
821,15654,2008,45748.06,yes
822,31071,2003,83686.13,no
823,20578,2002,58200.34,yes
824,11360,2016,45010.88,yes
825,7458,1999,47584.23,yes
826,12772,2006,109009.54,yes
827,13015,1998,99045.26,no
828,17942,2009,29868.87,yes
829,16889,1998,83735.84,no
830,11259,2006,92916.94,no
831,11321,2004,68956.22,yes
832,10154,2011,57027.85,yes
833,15923,1998,47064.3,yes
834,6535,2015,69811.07,no
835,12305,2002,48412.88,no
836,14301,1998,43033.47,yes
837,8737,2003,16599.03,yes
838,17801,1999,86069.22,no
839,19809,2002,42491.27,yes
840,18143,2008,78235.69,no
841,19376,2004,97741.64,no
842,8806,2000,86830.79,yes
843,5837,2004,83896.38,yes
844,7997,2000,40088.17,yes
845,15296,2007,81708.98,no
846,8217,2005,22289.87,yes
847,8375,1998,64637.98,no
848,12150,1999,78807.86,yes
849,22582,2006,62887.42,no
850,20440,2003,80445.86,no
851,15427,2006,65019.81,no
852,16970,2000,58790.46,yes
853,16026,2000,86150.41,no
854,12754,2000,9293.94,yes
855,13075,1998,65290.11,yes
856,13535,2001,85602.03,no
857,15084,2007,47500.47,yes
858,18276,2007,39371.14,yes
859,17744,2009,89442.04,no
860,14595,2008,71977.33,no
861,16288,2001,90437.61,no
862,13386,1999,87274.13,yes
863,25878,2006,66781.04,no
864,15644,2001,28969.82,yes
865,23598,2001,70733.72,no
866,9663,1999,44224.36,yes
867,7275,2016,86577.51,no
868,13565,2004,58802.03,yes
869,13663,1999,25487.71,yes
870,11252,2008,86716.05,yes
871,21990,2001,80774.07,no
872,17866,2011,97830.91,no
873,13735,1999,36007.16,yes
874,19491,2005,79193.58,no
875,10298,2002,33276.52,yes
876,13521,2004,40890.38,yes
877,13661,2002,83537.38,no
878,15539,1999,95702.51,no
879,17786,2005,68048.91,no
880,6674,1999,98997.7,no
881,15567,1999,32612.92,yes
882,14256,2010,77546.13,no
883,17201,1998,56317.72,yes
884,9826,1998,27282.65,yes
885,16791,2008,55897.76,no
886,16539,2014,109411.39,no
887,19808,2005,24570.35,yes
888,9876,2003,90319.67,yes
889,10412,1998,39623.16,yes
890,12580,1999,101462.86,yes
891,19999,2012,90201.92,yes
892,17117,2001,74199.69,no
893,9361,2005,35655.12,yes
894,8179,2003,83046.1,no
895,7938,2006,92798.09,yes
896,14152,2017,108172.3,yes
897,16288,2005,89275.96,no
